TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
8.777142857,0.186132,0.14895,0.966947,1.05623,0.149038,0.586018,1.09672,1.57724,0.762239,0.161385,1.02689,0.635999
8.823582766,0.187234,0.230304,1.37729,0.523356,0.149344,0.354647,0.756173,0.999523,0.918095,0.175666,0.91518,0.862146
8.870022676,0.315934,0.31838,1.34565,0.0871421,0.180116,0.128941,0.594343,1.05049,1.26536,0.156895,0.565541,1.17959
8.916462585,0.876127,0.792953,1.18136,0.0624566,0.354407,0.203111,0.656611,1.06448,1.30537,0.15615,0.0647406,1.18565
8.962902494,1.0319,0.770226,1.27657,0.0158481,0.515631,0.248087,0.929645,0.715958,1.12676,0.160737,0.165688,0.590166
9.009342404,0.873598,0.601365,1.44228,0.357561,0.496644,0.225722,0.880756,0.677892,1.23667,0.134604,0.55938,0.156437
9.055782313,0.864316,0.133596,1.22959,0.918042,0.481892,0.184374,0.903858,0.749192,1.13551,0.153447,0.355684,0.155341
9.102222222,0.874643,0.184508,0.865422,1.22959,0.505122,0.190579,0.983233,1.07972,0.875343,0.148293,0.202491,0.197293
9.148662132,0.540091,1.09165,0.873746,0.685559,0.355942,0.0987355,0.787888,1.37841,0.123748,0.183857,0.541034,0.358798
9.195102041,0.62234,1.27928,0.580532,0.665475,0.188014,0.170719,0.816983,1.81128,0.0523493,0.263813,0.796826,0.457619
9.241541950,0.631139,1.03169,0.272498,0.919675,0.0979637,0.0789553,0.666782,1.94285,0.036185,0.57747,1.07496,0.354165
9.287981859,0.355729,1.15264,0.108335,0.983755,0.116801,0.0392766,0.420183,1.94382,0.0228167,0.728675,1.00883,0.412256
9.334421769,0.251041,1.46735,0.135542,0.923794,0.167972,0.185856,0.878193,1.2126,0.0186775,0.635068,0.54578,0.588152
9.380861678,0.282439,1.46452,0.172845,0.714031,0.1933,0.381782,1.14086,0.79081,0.378698,0.371787,0.714761,0.775821
9.427301587,0.233611,1.10021,0.449845,0.445492,0.751958,0.424404,1.03361,0.690333,0.382758,0.136824,1.24892,0.849802
9.473741497,0.130385,0.5167,1.05152,0.0470766,1.46723,0.676535,0.365949,1.12801,0.00399871,0.122444,1.3741,0.817285
